test_image_id,train_image_id,pair_body,predicted_body,test_timestamp_utc,train_timestamp_utc,time_delta_s,predicted_range_km,true_range_test_km,true_range_train_km,relative_error_vs_train,result
co-iss-n1596022302,co-iss-n1596022118,saturn_rings,,2008-07-29T10:53:26.271,2008-07-29T10:50:22.273,183.998,,,,,SKIP_REFUSED
co-iss-n1596022347,co-iss-n1596022118,saturn_rings,,2008-07-29T10:54:11.271,2008-07-29T10:50:22.273,228.998,,,,,SKIP_REFUSED
co-iss-n1596022407,co-iss-n1596022651,saturn_rings,,2008-07-29T10:55:11.270,2008-07-29T10:59:15.269,243.999,,,,,SKIP_REFUSED
co-iss-n1596022452,co-iss-n1596022651,saturn_rings,,2008-07-29T10:55:56.270,2008-07-29T10:59:15.269,198.999,,,,,SKIP_REFUSED
co-iss-n1596022512,co-iss-n1596022651,saturn_rings,,2008-07-29T10:56:56.270,2008-07-29T10:59:15.269,138.999,,,,,SKIP_REFUSED
co-iss-w1596023420,co-iss-n1596023484,saturn_rings,,2008-07-29T11:12:04.253,2008-07-29T11:13:08.263,64.01,,,,,SKIP_REFUSED
co-iss-n1610125007,co-iss-n1611809839,suttungr,,2009-01-08T16:16:44.987,2009-01-28T04:17:09.606,1684824.619,,,,,SKIP_REFUSED
co-iss-w1617662998,co-iss-n1617663115,thrymr,,2009-04-05T22:07:45.984,2009-04-05T22:09:42.988,117.004,,,,,SKIP_REFUSED
co-iss-n1617662998,co-iss-n1617663115,thrymr,,2009-04-05T22:07:45.984,2009-04-05T22:09:42.988,117.004,,,,,SKIP_REFUSED
co-iss-w1620495938,co-iss-w1620498631,saturn_rings,,2009-05-08T17:04:27.794,2009-05-08T17:49:20.685,2692.891,,,,,SKIP_REFUSED
co-iss-n1620640892,co-iss-n1620641477,saturn_rings,saturn_rings,2009-05-10T09:20:19.593,2009-05-10T09:30:04.589,584.996,47362509.811318,,,,SKIP_DEGRADED
co-iss-n1620642257,co-iss-n1620642842,saturn_rings,saturn_rings,2009-05-10T09:43:04.583,2009-05-10T09:52:49.579,584.996,45651158.969399,,,,SKIP_DEGRADED
co-iss-n1620646352,co-iss-n1620645572,saturn_rings,saturn_rings,2009-05-10T10:51:19.554,2009-05-10T10:38:19.560,779.994,47218986.217026,,,,SKIP_DEGRADED
co-iss-n1628416567,co-iss-n1628417141,saturn,,2009-08-08T09:11:00.557,2009-08-08T09:20:34.553,573.996,,,,,SKIP_REFUSED
co-iss-n1628421211,co-iss-n1628420637,saturn,,2009-08-08T10:28:24.524,2009-08-08T10:18:50.528,573.996,,,,,SKIP_REFUSED
co-iss-n1628425316,co-iss-n1628425916,saturn,,2009-08-08T11:36:49.503,2009-08-08T11:46:49.499,599.996,,,,,SKIP_REFUSED
co-iss-n1628426716,co-iss-n1628425916,saturn,,2009-08-08T12:00:09.493,2009-08-08T11:46:49.499,799.994,,,,,SKIP_REFUSED
co-iss-n1628427316,co-iss-n1628428116,saturn,,2009-08-08T12:10:09.489,2009-08-08T12:23:29.483,799.994,,,,,SKIP_REFUSED
co-iss-n1628433764,co-iss-n1628433190,saturn,,2009-08-08T13:57:37.435,2009-08-08T13:48:03.439,573.996,,,,,SKIP_REFUSED
co-iss-n1630961062,co-iss-n1630960936,kari,,2009-09-06T20:01:01.440,2009-09-06T19:59:45.857,75.583,,,,,SKIP_REFUSED
co-iss-w1630961062,co-iss-n1630960936,kari,,2009-09-06T20:01:56.880,2009-09-06T19:59:45.857,131.023,,,,,SKIP_REFUSED
co-iss-n1631614576,co-iss-n1631615222,ijiraq,,2009-09-14T09:32:24.879,2009-09-14T09:43:10.886,646.007,,,,,SKIP_REFUSED
co-iss-w1643264504,co-iss-n1643264273,aegaeon,,2010-01-27T05:37:42.221,2010-01-27T05:34:01.195,221.026,,,,,SKIP_REFUSED
co-iss-n1644268128,co-iss-n1644267925,skoll,,2010-02-07T20:21:49.052,2010-02-07T20:18:26.053,202.999,,,,,SKIP_REFUSED
co-iss-n1648533433,co-iss-n1648533937,bebhionn,,2010-03-29T05:11:21.712,2010-03-29T05:19:45.716,504.004,,,,,SKIP_REFUSED
co-iss-n1650145965,co-iss-n1648533937,albiorix,,2010-04-16T21:06:42.163,2010-03-29T05:19:45.716,1612016.447,,,,,SKIP_REFUSED
co-iss-n1650147103,co-iss-n1617663546,albiorix,,2010-04-16T21:24:02.182,2009-04-05T22:16:53.996,32483228.186,,,,,SKIP_REFUSED
co-iss-n1661529677,co-iss-n1661528997,hyrrokkin,,2010-08-26T15:13:34.658,2010-08-26T15:02:14.663,679.995,,,,,SKIP_REFUSED
co-iss-n1661582175,co-iss-n1661582439,greip,,2010-08-27T05:46:32.281,2010-08-27T05:50:56.280,263.999,,,,,SKIP_REFUSED
co-iss-n1667135008,co-iss-n1650147783,bergelmir,,2010-10-30T12:00:05.434,2010-04-16T21:35:22.185,16986283.249,,,,,SKIP_REFUSED
co-iss-n1684084195,co-iss-n1684083931,s_2004_s_12,,2011-05-14T16:17:45.049,2011-05-14T16:13:21.051,263.998,,,,,SKIP_REFUSED
co-iss-n1691633139,co-iss-n1691633721,saturn,saturn,2011-08-10T01:16:20.897,2011-08-10T01:26:02.893,581.996,37976636.278071,2692568.147,2693033.952,13.101804,FAIL_RANGE
co-iss-n1691635643,co-iss-n1691636225,saturn,saturn,2011-08-10T01:58:00.661,2011-08-10T02:07:42.657,581.996,37976636.278071,2694558.392,2695017.850,13.091423,FAIL_RANGE
co-iss-n1691636719,co-iss-n1691637301,saturn,,2011-08-10T02:15:58.054,2011-08-10T02:25:40.050,581.996,,,,,SKIP_REFUSED
co-iss-w1691660167,co-iss-n1650147783,saturn,titan,2011-08-10T08:46:49.105,2010-04-16T21:35:22.185,41512286.92,1077453.671317,,,,SKIP_DEGRADED
co-iss-n1691767707,co-iss-n1691767187,tarqeq,,2011-08-11T14:31:28.426,2011-08-11T14:22:48.429,519.997,,,,,SKIP_REFUSED
co-iss-n1697869850,co-iss-n1697868810,loge,,2011-10-21T05:33:12.806,2011-10-21T05:15:52.812,1039.994,,,,,SKIP_REFUSED
co-iss-n1709936623,co-iss-n1709936103,jarnsaxa,,2012-03-08T21:24:49.374,2012-03-08T21:16:09.377,519.997,,,,,SKIP_REFUSED
co-iss-n1734876022,co-iss-n1734875502,surtur,,2012-12-22T12:58:49.073,2012-12-22T12:50:09.076,519.997,,,,,SKIP_REFUSED
co-iss-n1737253518,co-iss-n1737253990,saturn_rings,,2013-01-19T01:31:09.429,2013-01-19T01:39:01.426,471.997,,,,,SKIP_REFUSED
co-iss-n1737255170,co-iss-n1737254816,saturn_rings,,2013-01-19T01:58:41.419,2013-01-19T01:52:47.421,353.998,,,,,SKIP_REFUSED
co-iss-n1737256468,co-iss-n1737256822,saturn_rings,,2013-01-19T02:20:19.410,2013-01-19T02:26:13.408,353.998,,,,,SKIP_REFUSED
co-iss-n1737261070,co-iss-n1737261424,saturn_rings,,2013-01-19T03:37:01.381,2013-01-19T03:42:55.379,353.998,,,,,SKIP_REFUSED
co-iss-n1743017284,co-iss-n1743017804,narvi,,2013-03-26T18:25:39.409,2013-03-26T18:34:19.405,519.996,,,,,SKIP_REFUSED
co-iss-n1747571767,co-iss-n1747571647,saturn,,2013-05-18T11:40:52.762,2013-05-18T11:38:52.763,119.999,,,,,SKIP_REFUSED
co-iss-n1747572767,co-iss-n1747572887,saturn,,2013-05-18T11:57:32.756,2013-05-18T11:59:32.755,119.999,,,,,SKIP_REFUSED
co-iss-n1747573887,co-iss-n1747573767,saturn,,2013-05-18T12:16:12.749,2013-05-18T12:14:12.749,120.0,,,,,SKIP_REFUSED
co-iss-n1747574607,co-iss-n1747574447,saturn,,2013-05-18T12:28:12.744,2013-05-18T12:25:32.745,159.999,,,,,SKIP_REFUSED
co-iss-n1747574727,co-iss-n1747574447,saturn,,2013-05-18T12:30:12.743,2013-05-18T12:25:32.745,279.998,,,,,SKIP_REFUSED
co-iss-n1747574887,co-iss-n1747575007,saturn,,2013-05-18T12:32:52.742,2013-05-18T12:34:52.741,119.999,,,,,SKIP_REFUSED
co-iss-n1747575287,co-iss-n1747575167,saturn,,2013-05-18T12:39:32.740,2013-05-18T12:37:32.740,120.0,,,,,SKIP_REFUSED
co-iss-n1747575447,co-iss-n1747575167,saturn,,2013-05-18T12:42:12.739,2013-05-18T12:37:32.740,279.999,,,,,SKIP_REFUSED
co-iss-n1749571907,co-iss-n1750351193,titan,titan,2013-06-10T15:16:12.517,2013-06-19T15:43:35.868,779243.351,925519.319861,1432832.353,2350709.190,0.606281,FAIL_RANGE
co-iss-n1749926659,co-iss-n1749572258,titan,titan,2013-06-14T17:48:12.465,2013-06-10T15:21:56.735,354375.73,1535372.965238,1948210.231,1432983.469,0.071452,PASS
co-iss-n1749927061,co-iss-n1749572006,titan,titan,2013-06-14T17:55:32.098,2013-06-10T15:17:59.541,355052.557,3038195.974529,1949966.015,1432879.440,1.120343,FAIL_RANGE
co-iss-n1749927214,co-iss-n1750351193,titan,titan,2013-06-14T17:57:19.481,2013-06-19T15:43:35.868,423976.387,1414159.073053,1950394.738,2350709.190,0.398412,FAIL_RANGE
co-iss-n1750350622,co-iss-n1750965696,titan,titan,2013-06-19T15:34:12.841,2013-06-26T18:25:14.934,615062.093,1791268.905011,2351772.311,1396806.214,0.282403,FAIL_RANGE
co-iss-n1752108758,co-iss-n1752108170,titan,,2013-07-09T23:56:09.679,2013-07-09T23:46:29.682,579.997,,,,,SKIP_REFUSED
co-iss-n1752969201,co-iss-n1752969019,earth,,2013-07-19T22:57:28.630,2013-07-19T22:54:29.223,179.407,,,,,SKIP_REFUSED
co-iss-n1752969273,co-iss-n1752969067,earth,,2013-07-19T22:58:19.229,2013-07-19T22:55:12.427,186.802,,,,,SKIP_REFUSED
co-iss-n1820702709,co-iss-n1820702493,saturn,,2015-09-11T21:41:37.168,2015-09-11T21:38:01.169,215.999,,,,,SKIP_REFUSED
co-iss-n1820702997,co-iss-n1820703213,saturn,,2015-09-11T21:46:25.166,2015-09-11T21:50:01.164,215.998,,,,,SKIP_REFUSED
co-iss-n1820703789,co-iss-n1820704005,saturn,,2015-09-11T21:59:37.161,2015-09-11T22:03:13.159,215.998,,,,,SKIP_REFUSED
co-iss-n1820704509,co-iss-n1820704293,saturn,,2015-09-11T22:11:37.156,2015-09-11T22:08:01.158,215.998,,,,,SKIP_REFUSED
co-iss-n1820705013,co-iss-n1820704797,saturn,,2015-09-11T22:20:01.153,2015-09-11T22:16:25.154,215.999,,,,,SKIP_REFUSED
co-iss-n1820705517,co-iss-n1820705301,saturn,,2015-09-11T22:28:25.150,2015-09-11T22:24:49.151,215.999,,,,,SKIP_REFUSED
co-iss-n1820707317,co-iss-n1820707029,saturn,,2015-09-11T22:58:25.138,2015-09-11T22:53:37.140,287.998,,,,,SKIP_REFUSED
co-iss-n1820707533,co-iss-n1820707821,saturn,,2015-09-11T23:02:01.137,2015-09-11T23:06:49.135,287.998,,,,,SKIP_REFUSED
co-iss-n1835925393,co-iss-n1835926611,saturn_rings,,2016-03-06T02:11:54.686,2016-03-06T02:32:12.678,1217.992,,,,,SKIP_REFUSED
co-iss-n1835932295,co-iss-n1835931077,saturn_rings,,2016-03-06T04:06:56.641,2016-03-06T03:46:38.648,1217.993,,,,,SKIP_REFUSED
co-iss-n1835937979,co-iss-n1835936761,saturn_rings,,2016-03-06T05:41:40.603,2016-03-06T05:21:22.611,1217.992,,,,,SKIP_REFUSED
co-iss-n1835942445,co-iss-n1835940821,saturn_rings,,2016-03-06T06:56:06.574,2016-03-06T06:29:02.585,1623.989,,,,,SKIP_REFUSED
co-iss-n1835943663,co-iss-n1835940821,saturn_rings,,2016-03-06T07:16:24.566,2016-03-06T06:29:02.585,2841.981,,,,,SKIP_REFUSED
co-iss-n1835945287,co-iss-n1835948129,saturn_rings,,2016-03-06T07:43:28.556,2016-03-06T08:30:50.537,2841.981,,,,,SKIP_REFUSED
co-iss-n1835946505,co-iss-n1835948129,saturn_rings,,2016-03-06T08:03:46.548,2016-03-06T08:30:50.537,1623.989,,,,,SKIP_REFUSED
co-iss-n1835949347,co-iss-n1835948129,saturn_rings,,2016-03-06T08:51:08.529,2016-03-06T08:30:50.537,1217.992,,,,,SKIP_REFUSED
co-iss-n1835950862,co-iss-n1835952059,saturn_rings,saturn_rings,2016-03-06T09:16:23.519,2016-03-06T09:36:20.512,1196.993,46700093.200776,,,,SKIP_DEGRADED
