test_image_id,train_image_id,test_timestamp_utc,train_timestamp_utc,time_delta_s,body,filter
co-iss-n1747572767,co-iss-n1747572887,2013-05-18T11:57:32.756,2013-05-18T11:59:32.755,119.999,saturn,CLEAR
co-iss-n1747573887,co-iss-n1747573767,2013-05-18T12:16:12.749,2013-05-18T12:14:12.749,120.0,saturn,CLEAR
co-iss-n1747574607,co-iss-n1747574447,2013-05-18T12:28:12.744,2013-05-18T12:25:32.745,159.999,saturn,CLEAR
co-iss-n1747574727,co-iss-n1747574447,2013-05-18T12:30:12.743,2013-05-18T12:25:32.745,279.998,saturn,CLEAR
co-iss-n1747574887,co-iss-n1747575007,2013-05-18T12:32:52.742,2013-05-18T12:34:52.741,119.999,saturn,CLEAR
co-iss-n1747575287,co-iss-n1747575167,2013-05-18T12:39:32.740,2013-05-18T12:37:32.740,120.0,saturn,CLEAR
co-iss-n1747575447,co-iss-n1747575167,2013-05-18T12:42:12.739,2013-05-18T12:37:32.740,279.999,saturn,CLEAR
co-iss-n1749571907,co-iss-n1750351193,2013-06-10T15:16:12.517,2013-06-19T15:43:35.868,779243.351,titan,UV3
co-iss-n1749926659,co-iss-n1749572258,2013-06-14T17:48:12.465,2013-06-10T15:21:56.735,354375.73,titan,CB3
co-iss-n1749927061,co-iss-n1749572006,2013-06-14T17:55:32.098,2013-06-10T15:17:59.541,355052.557,titan,RED
co-iss-n1749927214,co-iss-n1750351193,2013-06-14T17:57:19.481,2013-06-19T15:43:35.868,423976.387,titan,UV3
co-iss-n1750350622,co-iss-n1750965696,2013-06-19T15:34:12.841,2013-06-26T18:25:14.934,615062.093,titan,CB3
co-iss-n1752108758,co-iss-n1752108170,2013-07-09T23:56:09.679,2013-07-09T23:46:29.682,579.997,titan,CB3
co-iss-n1752969201,co-iss-n1752969019,2013-07-19T22:57:28.630,2013-07-19T22:54:29.223,179.407,earth,RED
co-iss-n1752969273,co-iss-n1752969067,2013-07-19T22:58:19.229,2013-07-19T22:55:12.427,186.802,earth,GRN
co-iss-n1820702709,co-iss-n1820702493,2015-09-11T21:41:37.168,2015-09-11T21:38:01.169,215.999,saturn,CLEAR
co-iss-n1820702997,co-iss-n1820703213,2015-09-11T21:46:25.166,2015-09-11T21:50:01.164,215.998,saturn,CLEAR
co-iss-n1820703789,co-iss-n1820704005,2015-09-11T21:59:37.161,2015-09-11T22:03:13.159,215.998,saturn,CLEAR
co-iss-n1820704509,co-iss-n1820704293,2015-09-11T22:11:37.156,2015-09-11T22:08:01.158,215.998,saturn,CLEAR
co-iss-n1820705013,co-iss-n1820704797,2015-09-11T22:20:01.153,2015-09-11T22:16:25.154,215.999,saturn,CLEAR
co-iss-n1820705517,co-iss-n1820705301,2015-09-11T22:28:25.150,2015-09-11T22:24:49.151,215.999,saturn,CLEAR
co-iss-n1820707317,co-iss-n1820707029,2015-09-11T22:58:25.138,2015-09-11T22:53:37.140,287.998,saturn,CLEAR
co-iss-n1820707533,co-iss-n1820707821,2015-09-11T23:02:01.137,2015-09-11T23:06:49.135,287.998,saturn,CLEAR
co-iss-n1835925393,co-iss-n1835926611,2016-03-06T02:11:54.686,2016-03-06T02:32:12.678,1217.992,saturn_rings,CLEAR
co-iss-n1835932295,co-iss-n1835931077,2016-03-06T04:06:56.641,2016-03-06T03:46:38.648,1217.993,saturn_rings,CLEAR
co-iss-n1835937979,co-iss-n1835936761,2016-03-06T05:41:40.603,2016-03-06T05:21:22.611,1217.992,saturn_rings,CLEAR
co-iss-n1835942445,co-iss-n1835940821,2016-03-06T06:56:06.574,2016-03-06T06:29:02.585,1623.989,saturn_rings,CLEAR
co-iss-n1835943663,co-iss-n1835940821,2016-03-06T07:16:24.566,2016-03-06T06:29:02.585,2841.981,saturn_rings,CLEAR
co-iss-n1835945287,co-iss-n1835948129,2016-03-06T07:43:28.556,2016-03-06T08:30:50.537,2841.981,saturn_rings,CLEAR
co-iss-n1835946505,co-iss-n1835948129,2016-03-06T08:03:46.548,2016-03-06T08:30:50.537,1623.989,saturn_rings,CLEAR
co-iss-n1835949347,co-iss-n1835948129,2016-03-06T08:51:08.529,2016-03-06T08:30:50.537,1217.992,saturn_rings,CLEAR
co-iss-n1835950862,co-iss-n1835952059,2016-03-06T09:16:23.519,2016-03-06T09:36:20.512,1196.993,saturn_rings,CLEAR
